wl,n,k
0.0466992,0.790050975,0.04015057
0.0468069,0.788939495,0.04045959
0.0469148,0.788448316,0.04073867
0.047023,0.786826101,0.0410783
0.0471313,0.785922276,0.04138273
0.04724,0.784468749,0.04171833
0.0473489,0.783586774,0.04202575
0.047458,0.782285032,0.04235785
0.0475675,0.780873799,0.0426983
0.0476771,0.779693189,0.04302851
0.047787,0.779017832,0.04333287
0.0478972,0.777794667,0.04366976
0.0480076,0.776510643,0.04401242
0.0481183,0.775363647,0.04434965
0.0482292,0.774259134,0.0446867
0.0483404,0.773068074,0.04503102
0.0484518,0.772091999,0.04536504
0.0485635,0.770495451,0.04573799
0.0486754,0.769583547,0.04607273
0.0487876,0.768233215,0.04643602
0.0489001,0.767358292,0.04677288
0.0490128,0.765778384,0.04715515
0.0491258,0.764581022,0.04751648
0.0492391,0.763324441,0.04788395
0.0493526,0.762067443,0.04825392
0.0494664,0.761061565,0.04861035
0.0495804,0.75990371,0.04897879
0.0496947,0.758739471,0.04935004
0.0498092,0.757034468,0.04975923
0.0499241,0.755788803,0.05014104
0.0500391,0.75434481,0.05053867
0.0501545,0.75365528,0.0508881
0.0502701,0.751994148,0.05130564
0.050386,0.750828149,0.05169218
0.0505022,0.749850863,0.05206809
0.0506186,0.748016515,0.05250633
0.0507353,0.746782152,0.05290545
0.0508522,0.745490249,0.05331126
0.0509694,0.743855624,0.05374449
0.0510869,0.74278583,0.05413969
0.0512047,0.741235675,0.05457261
0.0513227,0.739936756,0.05498993
0.0514411,0.73877041,0.05540001
0.0515596,0.73690792,0.05586535
0.0516785,0.735625222,0.05628989
0.0517976,0.734420614,0.05671112
0.051917,0.732979871,0.05715337
0.0520367,0.731456217,0.05760512
0.0521567,0.730188785,0.0580396
0.0522769,0.728755463,0.05849012
0.0523974,0.727190522,0.05895429
0.0525182,0.725578217,0.05942555
0.0526393,0.724012446,0.05989627
0.0527606,0.722822787,0.0603388
0.0528822,0.721080422,0.06083058
0.0530042,0.719461774,0.06131537
0.0531263,0.71819,0.06177368
0.0532488,0.716779694,0.06224682
0.0533716,0.71529563,0.06272945
0.0534946,0.713410114,0.06325081
0.0536179,0.711887423,0.06374358
0.0537415,0.710314171,0.06424418
0.0538654,0.708842648,0.06473884
0.0539896,0.707349628,0.06523867
0.054114,0.705464867,0.06577823
0.0542388,0.704076038,0.06627508
0.0543638,0.70241402,0.06680095
0.0544891,0.70087132,0.06731895
0.0546147,0.69938983,0.06783437
0.0547406,0.697741954,0.06836934
0.0548668,0.695943792,0.06892279
0.0549933,0.694291341,0.06946557
0.0551201,0.692416904,0.07003441
0.0552471,0.690847031,0.07057624
0.0553745,0.689358803,0.07111313
0.0555022,0.687578797,0.07168375
0.0556301,0.685619853,0.07227717
0.0557583,0.683740342,0.0728665
0.0558869,0.682295628,0.07341322
0.0560157,0.680543712,0.0739966
0.0561448,0.678524174,0.07461334
0.0562743,0.676887037,0.07519217
0.056404,0.675100995,0.07579143
0.056534,0.672961052,0.07643493
0.0566643,0.671488107,0.07700684
0.056795,0.669612765,0.07762874
0.0569259,0.667606844,0.07827027
0.0570571,0.665843377,0.0788878
0.0571887,0.664059707,0.07951195
0.0573205,0.662177735,0.08015228
0.0574526,0.660373736,0.08078764
0.0575851,0.658076816,0.08148837
0.0577178,0.65604705,0.08216141
0.0578509,0.653852674,0.08286035
0.0579842,0.652043309,0.08351549
0.0581179,0.649988608,0.08420687
0.0582519,0.648122508,0.08487872
0.0583862,0.645861912,0.08560748
0.0585207,0.64421203,0.08626026
0.0586557,0.641984502,0.08699533
0.0587909,0.639886128,0.08771851
0.0589264,0.63783702,0.0884403
0.0590622,0.635623354,0.08919048
0.0591984,0.633325724,0.08995847
0.0593349,0.631164013,0.09071312
0.0594716,0.629282397,0.09143284
0.0596087,0.626775429,0.09224938
0.0597461,0.624615018,0.09302139
0.0598839,0.62261143,0.09377566
0.0600219,0.620052934,0.0946199
0.0601603,0.618069745,0.09538279
0.060299,0.615697101,0.09621189
0.060438,0.613272596,0.09705612
0.0605773,0.611035498,0.09787754
0.0607169,0.608505142,0.09875311
0.0608569,0.606078295,0.09961959
0.0609972,0.603565148,0.10050808
0.0611378,0.601171023,0.10138473
0.0612787,0.598756572,0.10227281
0.06142,0.596193262,0.103195
0.0615616,0.593859574,0.10408635
0.0617035,0.591188334,0.10504647
0.0618458,0.588609942,0.10600084
0.0619883,0.586003223,0.10697161
0.0621312,0.583472156,0.10794059
0.0622744,0.580297864,0.10904313
0.062418,0.577883955,0.1100183
0.0625619,0.574897372,0.11111891
0.0627061,0.572084218,0.11220514
0.0628507,0.568950495,0.11337584
0.0629956,0.566347258,0.11446406
0.0631408,0.563053757,0.11571814
0.0632863,0.560289455,0.11689319
0.0634322,0.557552511,0.11809365
0.0635784,0.554126489,0.11947704
0.063725,0.550935713,0.12085219
0.0638719,0.547799994,0.12226093
0.0640191,0.544593747,0.12373568
0.0641667,0.541416986,0.12525894
0.0643146,0.538122931,0.12686988
0.0644629,0.534964588,0.12851435
0.0646115,0.531644974,0.13026831
0.0647605,0.528196153,0.13213114
0.0649097,0.524714613,0.13408514
0.0650594,0.521358615,0.13609423
0.0652094,0.517605462,0.13830007
0.0653597,0.514454982,0.14044056
0.0655103,0.511054036,0.14274602
0.0656614,0.507783139,0.14511475
0.0658127,0.50444122,0.14760442
0.0659644,0.501088205,0.15019907
0.0661165,0.497756598,0.1528885
0.0662689,0.494687638,0.15559483
